Price,Area,Bedrooms,Bathrooms
145000,1240,3,2
68000,370,1,1
115000,1130,3,1.5
69000,1120,3,2
163000,1710,3,2
69900,1010,3,2
50000,860,2,2
137000,1420,3,2
121300,1270,3,2
70000,1160,3,2
64500,1220,3,2
167000,1690,3,2
114600,1380,3,2
103000,1590,3,2
101000,1050,3,1
50000,770,2,1
85000,1410,3,2
22500,1060,3,1
90000,1300,2,2
133000,1500,3,2
90500,820,2,1
260000,2130,3,2.5
142500,1170,2,1
160000,1500,3,2
240000,2790,4,2
87000,1030,3,1
118600,1250,3,2
140000,1760,3,2
148000,1550,2,3
65000,1450,3,1.5
176000,2000,4,2
86500,1350,3,1
180000,1840,3,2
179000,2510,4,2
338000,3110,3,3
130000,1760,4,2
77300,1120,3,1.5
125000,1110,2,1
100000,1360,3,2
100000,1250,3,1
100000,1250,3,1
146500,1480,3,2
144900,1520,3,2
183000,2020,3,2
77000,1220,3,1.5
60000,1640,2,2
127000,940,2,2
86000,1580,3,2
95000,1270,3,2.5
270500,2440,4,2.5
75000,1520,4,1.5
81000,980,2,1
188000,2300,4,2
85000,1430,3,2
137000,1380,3,2
92900,1010,3,1.5
93000,1780,3,1.5
109300,1120,3,2
131500,1900,3,2
200000,2430,4,3
81900,1080,3,2
91200,1350,2,1
124500,1720,4,3
225000,4050,3,3
136500,1500,3,2
268000,2530,4,2.5
70700,1020,3,1.5
70000,2070,4,2.5
140000,1520,3,2
89900,1280,2,2
137000,1620,3,2
103000,1520,3,2
183000,2030,3,2
140000,1390,3,2
160000,1880,4,2
192000,2780,4,2.5
130000,1340,2,1
123000,940,2,2
21000,580,2,1
85000,1410,4,2
69900,1150,3,2
125000,1380,3,2
162600,1470,3,2
156900,1590,2,2
105900,1200,3,2
167500,1920,3,2
151800,2150,3,2
118300,2200,5,3
94300,860,2,2
93900,1230,3,1
165000,1140,4,2
285000,2650,4,3
45000,1060,3,1
124900,1770,3,2
147000,1860,4,2
176000,1060,2,2
196500,1730,3,2
132200,1370,3,2
88400,1560,3,2
127200,1340,3,2